Product_1469,Product_79,Product_85,Product_56,Product_1313,Product_338,Product_1037,Product_1682,Product_2183,Product_106,Product_1586,Product_1641,Product_993,Product_1673,Product_1602,Product_2289,Product_326,Product_98,Product_2106,Product_461
3,2,6,2,2,3,2,2,5,1,2,1,2,2,1,1,3,1,7,3
4,1,4,1,2,3,2,6,16,1,0,6,2,5,0,3,2,2,15,0
4,1,6,2,0,3,2,3,2,0,0,1,0,1,0,3,2,0,3,1
2,1,0,0,0,3,0,6,1,0,0,2,0,1,0,4,4,0,3,2
0,2,2,0,3,5,2,0,6,0,0,1,1,0,0,4,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,5,2,4,2,1,2,6,2,1,4,7,0,2,5,8,1,6,1
3,2,5,5,0,6,0,3,11,1,0,4,3,2,0,5,3,1,8,0
0,1,2,0,0,1,0,1,1,1,0,1,2,2,1,1,2,0,5,0
1,0,1,0,0,1,0,2,2,0,0,4,0,0,0,1,5,0,2,0
2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,0,1,4,2,0,2,1,1,0,1,4,1,5,1
7,0,1,0,1,3,3,4,1,2,0,1,0,2,0,2,6,0,5,1
3,1,4,0,2,2,0,3,6,3,2,6,2,1,0,1,4,2,6,0
0,2,7,1,2,1,1,1,7,0,0,3,2,0,2,1,2,1,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,1,1,2,5,0,0,1,1,0,0,1,7,0,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,2,0,2,2,1,3,1,2,0,1,1,0,0,0,1,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,2,1,0,4,8,3,0,4,1,1,1,6,2,1,9,0
9,2,5,2,3,5,4,6,12,3,0,7,5,3,0,8,4,0,12,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,2,1,1,2,5,4,0,0,5,1,1,0,1,4,0,8,2
3,2,0,1,0,3,3,0,5,3,1,6,0,1,0,0,3,0,5,1
4,0,2,1,1,1,2,1,3,1,0,2,4,0,0,4,3,0,4,0
4,1,3,1,0,3,1,2,6,0,0,1,1,1,0,3,1,0,9,0
0,0,2,0,0,0,0,1,5,2,1,2,1,0,0,2,3,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,1,0,7,5,1,3,2,0,1,9,1,1,1,1,7,0,4,1
2,2,5,3,0,2,2,0,2,2,0,4,2,2,1,1,1,1,8,1
0,0,5,1,0,2,1,0,1,1,2,0,0,0,0,1,1,0,4,1
0,1,3,0,0,2,0,1,1,0,0,1,1,2,0,0,3,0,4,2
1,0,1,0,0,0,1,0,4,0,0,0,2,0,0,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
